,char,frequncy
0, ,0.17185615685506658
1,e,0.10224860602446632
2,t,0.0733598259143723
3,a,0.060987820236119206
4,o,0.05975960875234183
5,n,0.055746561230347505
6,i,0.05424778721681048
7,s,0.047918938042070695
8,h,0.04590662922698327
9,r,0.04558711623953684
10,d,0.032807486750001114
11,l,0.031480484342528606
12,u,0.023417008949033674
13,c,0.021473230774707742
14,m,0.020285069665401372
15,f,0.019895246020550292
16,",",0.015658806409839934
17,w,0.015581375685862663
18,p,0.01550572497852855
19,y,0.015131031475144293
20,g,0.014318453877543755
21,b,0.01178816021929805
22,v,0.008565440086864813
23,.,0.007481409951183043
24,I,0.0043129803263660515
25,k,0.0038065655913882795
26,"""",0.0026584548565529087
27,T,0.0019731484489379975
28,x,0.001736406235398301
29,;,0.0012050712674163504
30,',0.0011872711009847943
31,A,0.001119630468544881
32,M,0.0009478588624803642
33,q,0.000916708571225141
34,H,0.0007689671898432251
35,B,0.0007431569485174686
36,W,0.0006577161496459992
37,S,0.0006488160664302211
38,j,0.0006078756836376421
39,z,0.0005642652758803295
40,?,0.00045390424400468146
41,D,0.0004369940858947031
42,L,0.0004076238112826355
43,P,0.00039338367813739056
44,E,0.0003871536198863459
45,O,0.000368463445133212
46,N,0.00036579342016847857
47,C,0.0003515532870232337
48,F,0.0003408731871643
49,G,0.0002785726046538535
50,Y,0.0002509823466849415
51,R,0.00022962214696707414
52,:,0.00015664146459769398
53,U,0.0001477413813819159
54,J,0.0001459613647387603
55,V,0.00013884129816613787
56,K,7.654071565569137e-05
57,é,4.1830391114156914e-05
58,æ,3.204029957680104e-05
59,ê,2.492023300417859e-05
60,Z,2.0470191396289556e-05
61,Q,1.8690174753133943e-05
62,X,1.5130141466822715e-05
63,ö,1.4240133145244908e-05
64,è,1.3350124823667101e-05
65,à,8.900083215778067e-06
66,ô,7.120066572622454e-06
67,â,5.34004992946684e-06
68,î,8.900083215778068e-07
69,Æ,8.900083215778068e-07
70,ü,8.900083215778068e-07
71,ä,8.900083215778068e-07
72,ç,8.900083215778068e-07
