,char,frequncy
0, ,0.17196513690846274
1,e,0.10050240384067922
2,t,0.07086832054549305
3,a,0.06469645106117439
4,o,0.05807023177533484
5,n,0.05793700138240767
6,i,0.05038841783784153
7,s,0.050006946199973125
8,h,0.04870311030337813
9,r,0.04622069785396583
10,d,0.03799457513169312
11,l,0.03447251012892603
12,u,0.022226701192696697
13,c,0.020881871329047185
14,m,0.020066546873185164
15,f,0.018529273108640845
16,w,0.017711671210164683
17,g,0.017025022262001553
18,y,0.01427273286281369
19,p,0.01248607913202107
20,b,0.012111439821995085
21,",",0.009771367535966512
22,v,0.007434711413859149
23,.,0.006727565482168763
24,k,0.005925905681991578
25,I,0.003962750148603131
26,',0.0019472134350894694
27,T,0.0018025958290915965
28,A,0.0013288877653505327
29,;,0.001301558453980856
30,x,0.0012081833068011269
31,S,0.0009576646192457566
32,q,0.0008870638982074249
33,H,0.0008437924885387701
34,W,0.0008335439967751412
35,M,0.000734475243060063
36,B,0.0006069384566682381
37,z,0.0006023835714399587
38,"""",0.0005841640305268408
39,O,0.0005727768174561422
40,C,0.0004998986538036707
41,j,0.0004828178341976228
42,N,0.00039285885093910347
43,D,0.00038033291656133496
44,P,0.0003643908182623568
45,G,0.00036211337564821713
46,E,0.0003199806872866321
47,F,0.0003063160316017937
48,L,0.0002835416054603964
49,R,0.000269876949775558
50,J,0.00023913147448467167
51,K,0.00020041495004429627
52,?,0.0001924439008948072
53,Y,0.00012639806508475503
54,U,0.00010703980286456733
55,V,7.629432757368096e-05
56,Z,5.807478666056312e-05
57,:,5.351990143228366e-05
58,é,1.7080819606047977e-05
59,ë,1.3664655684838381e-05
60,æ,1.138721307069865e-05
61,Q,1.138721307069865e-05
62,ñ,7.971049149489056e-06
63,ï,7.971049149489056e-06
64,ä,6.8323278424191905e-06
65,X,5.693606535349325e-06
66,ü,5.693606535349325e-06
67,Æ,4.55488522827946e-06
68,ö,3.4161639212095952e-06
69,Ο,3.4161639212095952e-06
70,ê,2.27744261413973e-06
71,ἶ,2.27744261413973e-06
72,δ,2.27744261413973e-06
73,α,2.27744261413973e-06
74,Υ,1.138721307069865e-06
75,Π,1.138721307069865e-06
76,Ν,1.138721307069865e-06
77,Σ,1.138721307069865e-06
78,Å,1.138721307069865e-06
